2,3,85,55,75,79.5,70,73,1,0,1
2,1,55,55,75,80,90,70,1,0,1
2,1,40,55,50,83,35,54,0,3,4
1,2,40,85,75,98,30,70,1,2,3
2,1,80,50,25,83,55,56,0,3,2
1,3,50,75,75,76.5,70,70,1,0,3
2,3,65,30,0,34,5,26,0,6,3
2,1,60,0,0,34,0,19,0,5,3
2,3,85,65,75,75,45,72,1,1,2
2,1,60,55,0,40,15,33,0,4,2
2,1,50,0,0,36,30,20,0,5,4
2,3,70,35,100,73.5,60,72,1,2,2
2,1,65,15,0,36,20,25,0,4,4
2,3,75,40,77,75.8,85,70,1,2,3
2,3,80,60,100,73.5,50,78,1,3,4
2,2,75,40,77,75.8,85,70,1,3,3
2,2,85,40,50,77.5,50,61,0,1,3
1,1,65,75,75,76.5,55,71,1,2,1
1,3,95,75,75,77.5,75,80,1,0,1
2,1,25,0,0,33.3,5,12,0,4,4
2,1,50,55,25,83.3,50,50,0,3,3
2,1,5,35,25,77.5,25,34,0,4,4
1,2,75,100,67,85,65,79,1,3,1
2,1,40,85,33,65,15,50,0,3,2
2,1,30,100,100,82.5,25,75,1,0,4
1,3,45,45,0,37.5,10,27,0,4,2
1,2,55,100,80,82.5,35,75,1,2,3
2,2,95,100,67,82.5,55,81,1,0,4
2,3,80,100,67,82.5,45,77,1,0,3
1,3,60,100,50,85,75,72,1,3,2
2,2,55,100,83,90,45,79,1,0,4
2,1,90,100,50,90,60,77,1,0,1
1,3,65,85,83,80,95,81,1,0,1
2,3,60,100,83,90,45,80,1,2,1
2,3,65,100,67,90,85,80,1,2,2
2,3,60,100,83,90,50,80,1,1,2
1,3,70,90,33,55,40,57,0,3,3
2,2,50,90,67,85,90,74,1,0,4
2,2,65,100,67,85,85,79,1,3,4
2,3,65,90,67,85,95,78,1,0,3
2,3,65,100,67,85,85,79,1,0,2
2,1,50,45,17,25,5,30,0,3,2
2,2,60,80,100,85,20,77,1,3,1
1,2,45,0,0,25,40,18,0,6,2
2,2,40,40,33,25,35,35,0,4,4
2,2,80,100,83,85,50,83,1,0,4
2,3,85,90,50,80,40,70,1,1,4
2,1,90,100,83,85,50,85,1,1,2
2,3,75,100,83,85,50,82,1,1,1
2,1,55,70,33,80,55.6,57,0,2,2
2,1,70,60,33,80,45,57,0,4,2
2,2,85,65,50,90,70,70,1,0,2
2,3,60,85,83,92,55,78,1,3,3
1,3,60,85,100,92,70,84,1,0,2
1,2,50,45,50,80,75,58,0,0,2
2,1,95,100,83,85,55,87,1,0,1
1,1,75,65,17,80,75,57,0,3,2
2,3,50,90,67,80,60,70,1,0,1
1,1,50,55,50,80,60,58,0,0,4
2,3,70,65,17,75,70,54,0,3,2
1,2,70,100,67,75,55,75,1,1,4
1,3,65,100,67,85,40,74,1,3,2
1,2,40,95,83,75,30,70,1,3,2
2,1,85,90,47,80,50,70,1,2,1
2,2,50,85,33,75,65,59,0,3,3
2,3,90,90,83,63,60,80,1,1,3
2,3,65,75,67,79,60,70,1,2,2
2,1,55,30,83,63,25,57,0,1,3
1,3,80,90,100,85,50,86,1,1,4
1,2,25,20,17,63,15,28,0,4,2
2,2,75,90,100,85,25,83,1,1,2
2,3,70,80,100,85,50,82,1,2,1
2,2,80,75,50,85,70,70,1,1,3
2,1,40,0,33,41.5,50,31,0,3,3
2,2,100,75,67,85,40,76,1,1,2
2,3,90,90,83,63,60,80,1,0,4
2,1,55,50,50,85,20,55,0,0,4
1,3,80,75,0,5,45,37,0,4,4
2,1,45,50,50,85,30,54,0,3,3
2,2,80,80,100,85,45,84,1,1,1
2,1,85,50,24,15,30,40,0,4,4
2,2,100,40,67,69,80,70,1,3,3
2,2,90,90,83,63,60,80,1,2,3
2,3,65,75,67,79,60,70,1,0,4
2,1,55,30,83,63,25,57,0,2,2
1,3,80,90,100,85,50,86,1,2,2
1,3,25,20,17,63,15,28,0,2,4
2,3,75,90,100,85,25,83,1,1,4
2,3,70,80,100,85,50,82,1,2,1
2,2,80,75,50,85,70,70,1,0,4
2,1,40,0,33,41.5,50,31,0,2,3
2,3,100,75,67,85,40,76,1,1,2
2,1,90,90,83,63,60,80,1,0,1
2,1,55,50,50,85,20,55,0,3,4
1,1,80,75,0,5,45,37,0,5,3
2,3,45,50,50,85,30,54,0,3,2
2,3,80,80,100,85,45,84,1,1,2
2,1,85,50,24,15,30,40,0,3,4
2,3,100,40,67,69,80,70,1,2,3
